t.uri	pref.uri
http://purl.obolibrary.org/obo/ENVO_01000407	http://eol.org/schema/terms/littoralZone
http://purl.obolibrary.org/obo/ENVO_01000775	http://eol.org/schema/terms/mesotrophicFreshwaterLake
http://purl.obolibrary.org/obo/ENVO_01001505	http://eol.org/schema/terms/montane_grasslands_and_shrublands
http://purl.obolibrary.org/obo/ENVO_01000774	http://eol.org/schema/terms/oligotrophicFreshwaterLake
http://purl.obolibrary.org/obo/ENVO_01000380	http://eol.org/schema/terms/TemperateOcean
http://purl.obolibrary.org/obo/ENVO_01001020	http://purl.obolibrary.org/obo/ENVO_00000019
http://purl.obolibrary.org/obo/ENVO_01000598	http://purl.obolibrary.org/obo/ENVO_00000027
http://purl.obolibrary.org/obo/ENVO_01001209	http://purl.obolibrary.org/obo/ENVO_00000043
http://purl.obolibrary.org/obo/ENVO_00000045	http://purl.obolibrary.org/obo/ENVO_00000045
http://purl.obolibrary.org/obo/ENVO_01000301	http://purl.obolibrary.org/obo/ENVO_00000045
http://purl.obolibrary.org/obo/ENVO_01001062	http://purl.obolibrary.org/obo/ENVO_00000052
http://purl.obolibrary.org/obo/ENVO_01000360	http://purl.obolibrary.org/obo/ENVO_00000067
http://purl.obolibrary.org/obo/ENVO_00000030	http://purl.obolibrary.org/obo/ENVO_00000067
http://purl.obolibrary.org/obo/ENVO_00000082	http://purl.obolibrary.org/obo/ENVO_00000082
http://purl.obolibrary.org/obo/ENVO_00000090	http://purl.obolibrary.org/obo/ENVO_00000090
http://purl.obolibrary.org/obo/ENVO_01000446	http://purl.obolibrary.org/obo/ENVO_00000100
http://purl.obolibrary.org/obo/ENVO_03000120	http://purl.obolibrary.org/obo/ENVO_00000198
http://purl.obolibrary.org/obo/ENVO_01001208	http://purl.obolibrary.org/obo/ENVO_00000233
http://purl.obolibrary.org/obo/ENVO_01000367	http://purl.obolibrary.org/obo/ENVO_00000326
http://purl.obolibrary.org/obo/ENVO_00000015	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_00000016	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_00002149	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_01000320	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_00000147	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_00002450	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_01000071	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_01000295	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_01000048	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_00000207	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_01000979	http://purl.obolibrary.org/obo/ENVO_00000549
http://purl.obolibrary.org/obo/ENVO_00000024	http://purl.obolibrary.org/obo/ENVO_00000549
http://purl.obolibrary.org/obo/ENVO_01000980	http://purl.obolibrary.org/obo/ENVO_00000549
http://purl.obolibrary.org/obo/ENVO_00002011	http://purl.obolibrary.org/obo/ENVO_00000873
http://purl.obolibrary.org/obo/ENVO_01000306	http://purl.obolibrary.org/obo/ENVO_00000873
http://purl.obolibrary.org/obo/ENVO_01001320	http://purl.obolibrary.org/obo/ENVO_00000873
http://purl.obolibrary.org/obo/ENVO_01000339 ---REMOVED--- http://purl.obolibrary.org/obo/ENVO_00000894
http://purl.obolibrary.org/obo/ENVO_01001037	http://purl.obolibrary.org/obo/ENVO_00002010
http://purl.obolibrary.org/obo/ENVO_01001040	http://purl.obolibrary.org/obo/ENVO_00002010
http://purl.obolibrary.org/obo/ENVO_01000317	http://purl.obolibrary.org/obo/ENVO_00002030
http://purl.obolibrary.org/obo/ENVO_01000666	http://purl.obolibrary.org/obo/ENVO_00002030
http://purl.obolibrary.org/obo/ENVO_01000411	http://purl.obolibrary.org/obo/ENVO_00002150
http://purl.obolibrary.org/obo/ENVO_01000298	http://purl.obolibrary.org/obo/ENVO_00002150
http://purl.obolibrary.org/obo/ENVO_01001202	http://purl.obolibrary.org/obo/ENVO_00002871
http://purl.obolibrary.org/obo/ENVO_01000006	http://purl.obolibrary.org/obo/ENVO_01000006
http://purl.obolibrary.org/obo/ENVO_00000482	http://purl.obolibrary.org/obo/ENVO_01000024
http://purl.obolibrary.org/obo/ENVO_00000426	http://purl.obolibrary.org/obo/ENVO_01000024
http://purl.obolibrary.org/obo/ENVO_00000215	http://purl.obolibrary.org/obo/ENVO_01000030
http://purl.obolibrary.org/obo/ENVO_00000150	http://purl.obolibrary.org/obo/ENVO_01000049
http://purl.obolibrary.org/obo/ENVO_01000263	http://purl.obolibrary.org/obo/ENVO_01000127
http://purl.obolibrary.org/obo/ENVO_01001582	http://purl.obolibrary.org/obo/ENVO_01000174
http://purl.obolibrary.org/obo/ENVO_01000768	http://purl.obolibrary.org/obo/ENVO_01000174
http://purl.obolibrary.org/obo/ENVO_01000434	http://purl.obolibrary.org/obo/ENVO_01000174
http://purl.obolibrary.org/obo/ENVO_00000111	http://purl.obolibrary.org/obo/ENVO_01000174
http://purl.obolibrary.org/obo/ENVO_01001243	http://purl.obolibrary.org/obo/ENVO_01000174
http://purl.obolibrary.org/obo/ENVO_01000374	http://purl.obolibrary.org/obo/ENVO_01000175
http://purl.obolibrary.org/obo/ENVO_01001245	http://purl.obolibrary.org/obo/ENVO_01000175
http://purl.obolibrary.org/obo/ENVO_01001206	http://purl.obolibrary.org/obo/ENVO_01000177
